Country,1990,1990_lower, 1990_upper, 1991,1991_lower, 1991_upper, 1992,1992_lower, 1992_upper, 1993,1993_lower, 1993_upper, 1994,1994_lower, 1994_upper, 1995,1995_lower, 1995_upper, 1996,1996_lower, 1996_upper, 1997,1997_lower, 1997_upper, 1998,1998_lower, 1998_upper, 1999,1999_lower, 1999_upper, 2000,2000_lower, 2000_upper, 2001,2001_lower, 2001_upper, 2002,2002_lower, 2002_upper, 2003,2003_lower, 2003_upper, 2004,2004_lower, 2004_upper, 2005,2005_lower, 2005_upper, 2006,2006_lower, 2006_upper, 2007,2007_lower, 2007_upper, 2008,2008_lower, 2008_upper, 2009,2009_lower, 2009_upper, 2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Central African Republic,5200 ,2400 , 11 000,7000 ,3200 , 15 000,8700 ,4000 , 19 000,10 000 ,4800 , 22 000,12 000 ,5500 , 25 000,13 000 ,6000 , 27 000,14 000 ,6500 , 29 000,14 000 ,6900 , 30 000,15 000 ,7200 , 31 000,15 000 ,7400 , 31 000,15 000 ,7400 , 30 000,15 000 ,7300 , 30 000,15 000 ,7400 , 29 000,15 000 ,7300 , 28 000,15 000 ,7300 , 28 000,15 000 ,7200 , 27 000,15 000 ,7100 , 27 000,15 000 ,7100 , 27 000,15 000 ,7400 , 27 000,16 000 ,7900 , 28 000,16 000 ,8300 , 29 000,17 000 ,8600 , 30 000,17 000 ,8700 , 31 000,17 000 ,8800 , 31 000,17 000 ,9000 , 31 000,18 000 ,9600 , 32 000,19 000 ,10 000 , 33 000,19 000 ,11 000 , 34 000,20 000 ,11 000 , 35 000
Chad,1600 ,<1000 , 4000,1900 ,<1000 , 4600,2300 ,<1000 , 5300,2700 ,1100 , 6100,3000 ,1200 , 6800,3300 ,1300 , 7300,3500 ,1400 , 7700,3700 ,1500 , 7900,3900 ,1600 , 8000,4000 ,1700 , 8100,4200 ,1700 , 8400,4300 ,1800 , 8600,4400 ,1800 , 8900,4500 ,1900 , 9200,4600 ,1900 , 9400,4700 ,2000 , 9600,4900 ,2100 , 9900,5200 ,2300 , 10 000,5600 ,2500 , 11 000,6100 ,2800 , 12 000,6700 ,3100 , 13 000,7300 ,3500 , 14 000,8100 ,3900 , 15 000,8800 ,4300 , 17 000,9700 ,4800 , 18 000,11 000 ,5300 , 19 000,12 000 ,5900 , 21 000,13 000 ,6700 , 23 000,14 000 ,7500 , 25 000
Chile,<500 ,<100 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1200,<1000 ,<500 , 1400,<1000 ,<500 , 1700,1000 ,<500 , 1900,1200 ,<1000 , 2200,1400 ,<1000 , 2500,1700 ,<1000 , 3000,2000 ,1000 , 3700,2400 ,1200 , 4400,2900 ,1500 , 5100,3400 ,1900 , 6000,4000 ,2200 , 6900,4600 ,2600 , 7900,5400 ,3100 , 9000,6200 ,3600 , 10 000,7100 ,4200 , 12 000,8200 ,4900 , 13 000,9300 ,5500 , 15 000,10 000 ,6300 , 17 000,12 000 ,7100 , 18 000,13 000 ,8100 , 21 000,15 000 ,9100 , 23 000,17 000 ,10 000 , 25 000,18 000 ,11 000 , 28 000
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Colombia,<1000 ,<200 , 3400,1400 ,<500 , 3700,2000 ,<500 , 4800,2700 ,<1000 , 5900,3400 ,1000 , 7100,4200 ,1500 , 9000,5000 ,2100 , 10 000,5900 ,2700 , 12 000,6700 ,3400 , 13 000,7600 ,3900 , 14 000,8400 ,4300 , 15 000,9200 ,4800 , 16 000,10 000 ,5400 , 18 000,11 000 ,5900 , 19 000,12 000 ,6500 , 21 000,13 000 ,7100 , 23 000,14 000 ,7800 , 25 000,15 000 ,8600 , 27 000,17 000 ,9700 , 29 000,18 000 ,11 000 , 31 000,19 000 ,11 000 , 33 000,21 000 ,12 000 , 35 000,23 000 ,14 000 , 38 000,26 000 ,15 000 , 42 000,29 000 ,17 000 , 46 000,32 000 ,20 000 , 51 000,35 000 ,22 000 , 56 000,39 000 ,25 000 , 60 000,43 000 ,28 000 , 65 000
Comoros,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Congo,3500 ,1500 , 8000,4200 ,1800 , 9600,4900 ,2100 , 11 000,5400 ,2400 , 12 000,5900 ,2500 , 13 000,6200 ,2600 , 13 000,6400 ,2800 , 14 000,6500 ,2800 , 14 000,6600 ,2900 , 14 000,6700 ,2900 , 14 000,6700 ,2900 , 13 000,6600 ,2900 , 13 000,6600 ,2900 , 13 000,6500 ,2800 , 13 000,6500 ,2800 , 13 000,6500 ,2800 , 13 000,6600 ,3000 , 13 000,6800 ,3200 , 13 000,7200 ,3500 , 14 000,7700 ,3800 , 15 000,8300 ,4100 , 16 000,9000 ,4600 , 17 000,9800 ,5000 , 18 000,11 000 ,5400 , 20 000,11 000 ,5900 , 21 000,12 000 ,6400 , 22 000,13 000 ,7100 , 24 000,14 000 ,7700 , 26 000,15 000 ,8400 , 28 000
Costa Rica,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1400,<1000 ,<500 , 1600,1000 ,<1000 , 1800,1200 ,<1000 , 2000,1300 ,<1000 , 2200,1500 ,<1000 , 2500,1700 ,1000 , 2700,1900 ,1200 , 3100,2100 ,1300 , 3400,2400 ,1500 , 3800,2600 ,1700 , 4200,2900 ,1900 , 4600,3200 ,2100 , 5000,3500 ,2300 , 5400,3900 ,2500 , 5900
Croatia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000
Cuba,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1200,<1000 ,<500 , 1500,1100 ,<1000 , 1800,1300 ,<1000 , 2200,1600 ,<1000 , 2600,1900 ,<1000 , 3000,2200 ,1200 , 3500,2600 ,1500 , 4100,3100 ,1800 , 4900,3700 ,2300 , 5800,4400 ,2800 , 6700,5200 ,3400 , 7700,6000 ,4000 , 8700,6800 ,4700 , 9700,7700 ,5400 , 11 000,8500 ,6200 , 12 000
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Czechia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1500,1000 ,<1000 , 1700
Côte d'Ivoire,34 000 ,21 000 , 62 000,42 000 ,27 000 , 77 000,51 000 ,32 000 , 93 000,59 000 ,37 000 , 110 000,66 000 ,42 000 , 120 000,72 000 ,46 000 , 130 000,77 000 ,49 000 , 140 000,81 000 ,51 000 , 150 000,83 000 ,52 000 , 150 000,84 000 ,53 000 , 150 000,84 000 ,53 000 , 150 000,83 000 ,52 000 , 150 000,82 000 ,51 000 , 150 000,80 000 ,50 000 , 150 000,78 000 ,49 000 , 140 000,77 000 ,49 000 , 140 000,78 000 ,49 000 , 140 000,79 000 ,50 000 , 140 000,81 000 ,51 000 , 150 000,83 000 ,52 000 , 150 000,85 000 ,54 000 , 160 000,89 000 ,56 000 , 160 000,92 000 ,58 000 , 170 000,96 000 ,61 000 , 180 000,100 000 ,63 000 , 180 000,100 000 ,65 000 , 190 000,110 000 ,67 000 , 200 000,110 000 ,70 000 , 200 000,120 000 ,73 000 , 210 000
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Democratic Republic of the Congo,26 000 ,11 000 , 53 000,29 000 ,12 000 , 59 000,32 000 ,13 000 , 63 000,34 000 ,15 000 , 68 000,37 000 ,16 000 , 72 000,39 000 ,17 000 , 73 000,40 000 ,18 000 , 75 000,41 000 ,18 000 , 79 000,42 000 ,18 000 , 79 000,42 000 ,18 000 , 79 000,42 000 ,18 000 , 80 000,42 000 ,18 000 , 80 000,41 000 ,18 000 , 81 000,41 000 ,18 000 , 81 000,41 000 ,17 000 , 82 000,40 000 ,17 000 , 82 000,41 000 ,18 000 , 84 000,41 000 ,18 000 , 86 000,42 000 ,19 000 , 87 000,43 000 ,20 000 , 88 000,44 000 ,20 000 , 90 000,45 000 ,21 000 , 92 000,47 000 ,22 000 , 95 000,49 000 ,23 000 , 99 000,51 000 ,25 000 , 100 000,54 000 ,27 000 , 110 000,58 000 ,29 000 , 110 000,62 000 ,32 000 , 120 000,67 000 ,35 000 , 130 000
Denmark,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1100,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,1000 ,<1000 , 1500,1100 ,<1000 , 1600,1300 ,<1000 , 1800,1400 ,<1000 , 1900,1500 ,1000 , 2000,1600 ,1100 , 2200,1700 ,1200 , 2400,1900 ,1300 , 2600,2000 ,1500 , 2700,2200 ,1600 , 2900,2400 ,1800 , 3100,2500 ,1900 , 3300,2700 ,2100 , 3400,2900 ,2300 , 3600,3100 ,2400 , 3800,3200 ,2600 , 4000,3400 ,2700 , 4100
Djibouti,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1500,<1000 ,<500 , 1600,<1000 ,<500 , 1700,<1000 ,<500 , 1800,<1000 ,<500 , 1800,<1000 ,<500 , 1800,<1000 ,<500 , 1900,1000 ,<500 , 1900,1000 ,<500 , 1900,1100 ,<500 , 2000,1100 ,<500 , 2000,1100 ,<1000 , 2100,1200 ,<1000 , 2100,1200 ,<1000 , 2200,1300 ,<1000 , 2200,1300 ,<1000 , 2300,1400 ,<1000 , 2500,1400 ,<1000 , 2600,1500 ,<1000 , 2800,1600 ,<1000 , 2900
Dominica,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100
Dominican Republic,1800 ,<1000 , 3600,2300 ,1300 , 4700,2800 ,1600 , 5700,3400 ,1900 , 6900,3900 ,2000 , 7900,4500 ,2300 , 9000,4900 ,2400 , 10 000,5300 ,2600 , 11 000,5700 ,2700 , 11 000,6000 ,2900 , 12 000,6200 ,3000 , 12 000,6400 ,3200 , 12 000,6600 ,3400 , 12 000,6700 ,3500 , 12 000,6700 ,3600 , 12 000,6800 ,3700 , 12 000,7000 ,3900 , 12 000,7200 ,4100 , 13 000,7700 ,4300 , 14 000,8200 ,4800 , 14 000,8700 ,5000 , 14 000,9400 ,5400 , 15 000,10 000 ,5800 , 16 000,11 000 ,6400 , 17 000,12 000 ,7200 , 18 000,13 000 ,8200 , 19 000,14 000 ,9200 , 21 000,15 000 ,9900 , 22 000,16 000 ,11 000 , 25 000
Ecuador,<1000 ,<100 , 2100,<1000 ,<200 , 2300,1000 ,<500 , 2600,1200 ,<500 , 2900,1400 ,<500 , 3300,1500 ,<500 , 3600,1700 ,<1000 , 3900,1900 ,<1000 , 4100,2000 ,<1000 , 4400,2200 ,<1000 , 4700,2400 ,1000 , 4900,2500 ,1100 , 5000,2700 ,1200 , 5400,2900 ,1300 , 5800,3000 ,1400 , 6200,3200 ,1500 , 6700,3500 ,1700 , 7300,3700 ,1800 , 7800,4100 ,2000 , 8500,4500 ,2300 , 9200,5000 ,2600 , 10 000,5500 ,2900 , 11 000,6100 ,3300 , 12 000,6800 ,3700 , 13 000,7400 ,4200 , 14 000,8000 ,4600 , 14 000,8900 ,5200 , 16 000,9800 ,5900 , 17 000,11 000 ,6500 , 18 000
Egypt,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1300,<1000 ,<500 , 1500,<1000 ,<1000 , 1700,1100 ,<1000 , 2000,1400 ,<1000 , 2400,1600 ,<1000 , 2800,1900 ,1100 , 3300,2200 ,1300 , 3900,2600 ,1500 , 4600
El Salvador,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<100 , <500,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<1000 ,<200 , 1000,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1500,<1000 ,<500 , 1600,<1000 ,<500 , 1800,1000 ,<500 , 1900,1100 ,<500 , 2100,1300 ,<1000 , 2300,1400 ,<1000 , 2600,1600 ,<1000 , 2900,1800 ,<1000 , 3200,2000 ,1000 , 3500,2300 ,1200 , 3800,2600 ,1500 , 4200,2800 ,1700 , 4600,3200 ,1900 , 5000,3500 ,2200 , 5300,3800 ,2400 , 5700,4100 ,2700 , 6000,4500 ,3100 , 6300,4800 ,3400 , 6700,5200 ,3700 , 7000
Equatorial Guinea,<200 ,<100 , <1000,<500 ,<100 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , 1100,<1000 ,<500 , 1300,<1000 ,<500 , 1500,<1000 ,<500 , 1700,<1000 ,<500 , 1800,<1000 ,<500 , 2000,1100 ,<500 , 2200,1200 ,<1000 , 2400,1300 ,<1000 , 2700,1500 ,<1000 , 2900,1600 ,<1000 , 3200,1800 ,<1000 , 3500,2000 ,<1000 , 3800,2200 ,<1000 , 4100,2400 ,1100 , 4700,2700 ,1200 , 5100,3000 ,1400 , 5600,3300 ,1600 , 6100,3700 ,1800 , 6700,4000 ,2000 , 7400,4500 ,2300 , 8400,5000 ,2600 , 9300,5500 ,2900 , 10 000,6000 ,3200 , 11 000,6600 ,3600 , 12 000
Eritrea,<500 ,<200 , 1400,<1000 ,<200 , 1600,<1000 ,<500 , 1800,<1000 ,<500 , 1900,<1000 ,<500 , 2300,<1000 ,<500 , 2500,1000 ,<500 , 2600,1100 ,<500 , 2600,1200 ,<500 , 2500,1200 ,<500 , 2500,1200 ,<1000 , 2600,1200 ,<1000 , 2700,1200 ,<1000 , 2700,1200 ,<1000 , 2700,1200 ,<500 , 2700,1200 ,<500 , 2600,1200 ,<500 , 2600,1200 ,<1000 , 2800,1300 ,<1000 , 3000,1400 ,<1000 , 3200,1500 ,<1000 , 3600,1700 ,<1000 , 3800,1800 ,<1000 , 3900,2000 ,1000 , 4200,2100 ,1100 , 4500,2300 ,1200 , 4800,2600 ,1400 , 5200,2800 ,1500 , 5500,3000 ,1700 , 5900
Estonia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<200 ,<100 , <200,<500 ,<100 , <500,<500 ,<200 , <1000,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<500 , 1400,<1000 ,<500 , 1500,<1000 ,<500 , 1600,<1000 ,<500 , 1600,1000 ,<1000 , 1800,1100 ,<1000 , 1900,1200 ,<1000 , 2000,1300 ,<1000 , 2100,1500 ,<1000 , 2200,1600 ,<1000 , 2400,1700 ,1100 , 2600,1900 ,1200 , 2700,2000 ,1300 , 2900,2200 ,1400 , 3100,2300 ,1600 , 3300,2500 ,1700 , 3500
Eswatini,<200 ,<100 , <500,<500 ,<200 , <1000,<1000 ,<500 , 1600,1300 ,<500 , 2500,2000 ,<1000 , 3800,2800 ,1100 , 5200,3600 ,1400 , 6700,4500 ,1800 , 8300,5300 ,2100 , 9600,6000 ,2400 , 11 000,6500 ,2700 , 12 000,7000 ,3000 , 12 000,7300 ,3200 , 13 000,7700 ,3400 , 13 000,8000 ,3500 , 13 000,8400 ,3800 , 14 000,9100 ,4100 , 15 000,10 000 ,4800 , 16 000,11 000 ,5600 , 18 000,13 000 ,6500 , 20 000,15 000 ,7600 , 23 000,17 000 ,9000 , 26 000,19 000 ,11 000 , 29 000,21 000 ,12 000 , 32 000,24 000 ,14 000 , 35 000,26 000 ,16 000 , 39 000,29 000 ,17 000 , 42 000,32 000 ,19 000 , 46 000,34 000 ,21 000 , 49 000
Ethiopia,27 000 ,16 000 , 48 000,36 000 ,21 000 , 63 000,45 000 ,26 000 , 79 000,53 000 ,31 000 , 93 000,61 000 ,35 000 , 110 000,67 000 ,38 000 , 120 000,72 000 ,41 000 , 130 000,75 000 ,43 000 , 130 000,77 000 ,44 000 , 140 000,78 000 ,45 000 , 140 000,78 000 ,45 000 , 140 000,78 000 ,44 000 , 140 000,76 000 ,44 000 , 130 000,74 000 ,42 000 , 130 000,72 000 ,41 000 , 130 000,70 000 ,40 000 , 120 000,69 000 ,40 000 , 120 000,71 000 ,41 000 , 120 000,74 000 ,43 000 , 130 000,79 000 ,45 000 , 140 000,84 000 ,48 000 , 150 000,91 000 ,52 000 , 160 000,98 000 ,56 000 , 170 000,110 000 ,61 000 , 190 000,110 000 ,66 000 , 200 000,120 000 ,71 000 , 220 000,130 000 ,77 000 , 240 000,150 000 ,84 000 , 260 000,160 000 ,90 000 , 280 000
Fiji,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Finland,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , 1100,<1000 ,<500 , 1200,<1000 ,<500 , 1300,<1000 ,<1000 , 1400,<1000 ,<1000 , 1500,1000 ,<1000 , 1600,1100 ,<1000 , 1700,1200 ,<1000 , 1800,1300 ,<1000 , 1900,1400 ,<1000 , 2100,1500 ,1000 , 2200
France,5400 ,2200 , 10 000,5800 ,2400 , 11 000,6300 ,2600 , 12 000,6800 ,2800 , 12 000,7300 ,3000 , 13 000,7900 ,3400 , 14 000,8400 ,3800 , 15 000,9900 ,4800 , 18 000,12 000 ,6000 , 20 000,13 000 ,7400 , 23 000,16 000 ,9000 , 27 000,18 000 ,11 000 , 30 000,20 000 ,12 000 , 34 000,23 000 ,14 000 , 38 000,26 000 ,16 000 , 42 000,28 000 ,18 000 , 46 000,31 000 ,20 000 , 50 000,35 000 ,23 000 , 55 000,38 000 ,25 000 , 60 000,42 000 ,28 000 , 65 000,45 000 ,30 000 , 70 000,49 000 ,33 000 , 75 000,54 000 ,37 000 , 80 000,58 000 ,40 000 , 86 000,63 000 ,44 000 , 92 000,68 000 ,48 000 , 98 000,73 000 ,52 000 , 100 000,78 000 ,56 000 , 110 000,83 000 ,60 000 , 120 000
Gabon,<1000 ,<500 , 1300,<1000 ,<500 , 1600,<1000 ,<500 , 2100,1100 ,<500 , 2800,1400 ,<1000 , 3400,1600 ,<1000 , 4200,1900 ,<1000 , 4700,2100 ,<1000 , 4900,2400 ,<1000 , 5200,2600 ,<1000 , 5300,2700 ,1000 , 5400,2900 ,1100 , 5600,3000 ,1200 , 6000,3100 ,1200 , 6000,3200 ,1300 , 6200,3400 ,1500 , 6500,3700 ,1700 , 7000,3900 ,1800 , 7300,4300 ,2100 , 7800,4600 ,2300 , 8300,5000 ,2500 , 9000,5400 ,2700 , 9700,5800 ,3000 , 10 000,6300 ,3300 , 11 000,6900 ,3700 , 12 000,7500 ,4100 , 13 000,8200 ,4600 , 14 000,9000 ,5200 , 15 000,9700 ,5800 , 16 000
Gambia,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <500,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <1000,<500 ,<500 , <1000,<1000 ,<500 , 1000,<1000 ,<500 , 1300,<1000 ,<500 , 1500,1000 ,<1000 , 1800,1100 ,<1000 , 2000,1300 ,<1000 , 2100,1400 ,<1000 , 2300,1500 ,<1000 , 2500,1700 ,<1000 , 2700,1800 ,1000 , 2900,2000 ,1100 , 3200,2100 ,1300 , 3400,2300 ,1400 , 3600,2400 ,1500 , 3800,2600 ,1700 , 4100,2900 ,1900 , 4400,3100 ,2100 , 4900,3500 ,2400 , 5300,3800 ,2600 , 5700,4200 ,2900 , 6100,4600 ,3200 , 6700,4900 ,3500 , 7100
Georgia,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <100,<100 ,<100 , <200,<100 ,<100 , <200,<200 ,<100 , <200,<200 ,<100 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<500 , <1000,<500 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<1000 ,<1000 , 1200,<1000 ,<1000 , 1300,1100 ,<1000 , 1600,1200 ,<1000 , 1800,1400 ,<1000 , 2000,1500 ,1100 , 2200,1700 ,1200 , 2400,1900 ,1400 , 2600,2100 ,1500 , 2900,2300 ,1700 , 3200
Germany,6000 ,2900 , 11 000,6400 ,3200 , 11 000,6600 ,3300 , 12 000,6700 ,3400 , 12 000,6700 ,3300 , 12 000,6800 ,3300 , 12 000,7300 ,3700 , 13 000,7900 ,4100 , 13 000,8600 ,4500 , 14 000,9200 ,4900 , 15 000,10 000 ,5600 , 16 000,11 000 ,6300 , 17 000,12 000 ,7000 , 18 000,13 000 ,7700 , 20 000,14 000 ,8500 , 22 000,16 000 ,9500 , 24 000,18 000 ,11 000 , 27 000,20 000 ,12 000 , 30 000,22 000 ,14 000 , 33 000,24 000 ,15 000 , 36 000,26 000 ,17 000 , 39 000,29 000 ,19 000 , 42 000,31 000 ,21 000 , 45 000,34 000 ,23 000 , 48 000,37 000 ,26 000 , 51 000,39 000 ,28 000 , 54 000,42 000 ,30 000 , 57 000,44 000 ,32 000 , 59 000,47 000 ,34 000 , 62 000
